id,type,coordinates,cluster
5545575719,shoes;clothes,"[77.220307, 28.631299]",2
5545575720,department_store,"[77.216747, 28.631098]",2
5545576288,clothes,"[77.21801, 28.633236]",2
5545576289,bag,"[77.220813, 28.6316]",2
5545576298,clothes,"[77.21764, 28.632172]",2
5545576299,clothes,"[77.218518, 28.633933]",2
5603128547,gift,"[77.186731, 28.602494]",10
5637102766,greengrocer,"[77.199342, 28.608182]",-1
5647754300,tea,"[77.222279, 28.631588]",2
5647754302,mobile_phone,"[77.222189, 28.631694]",2
5647754779,fabric,"[77.222121, 28.631724]",2
5647754783,clothes;fabric,"[77.222233, 28.631676]",2
5656393231,clothes,"[77.21791, 28.633022]",2
5656398091,jewelry,"[77.217919, 28.63307]",2
5656398298,clothes,"[77.217894, 28.632819]",2
5656398299,bag,"[77.217896, 28.632869]",2
